City,Latitude,Longitude
Aachen,50.761366131022314,6.110715296568214
Ahaus,52.10115235459717,6.959823312089499
Ahlen,51.7663892562437,7.892246575591139
Aldenhoven,50.901301817085084,6.2559566616334354
Alfter,50.70973537884378,6.996102168129864
Alpen,51.59401829356497,6.482688384777509
Alsdorf,50.86750008221436,6.176180273160694
Altena,51.27792603425159,7.6685319859244565
Altenbeken,51.73991782800059,8.939221609141072
Altenberge,52.042293784604446,7.478184130132989
Anröchte,51.55023767291219,8.294988923001702
Arnsberg,51.42280470279165,8.045224696272843
Ascheberg,51.774850379656925,7.628696484109432
Attendorn,51.12179933409044,7.910676390152241
Augustdorf,51.89958462035784,8.764273077189909
Bad Berleburg,51.054897516732204,8.383127180444557
Bad Driburg,51.720743639014074,9.0480379555674
Bad Honnef,50.65511492827001,7.281580178853127
Bad Laasphe,50.92422580039309,8.348767624266497
Bad Lippspringe,51.79226369752028,8.820500455333804
Bad Münstereifel,50.5313954712107,6.803084589138646
Bad Oeynhausen,52.21915006528102,8.792867923413464
Bad Salzuflen,52.073051327633465,8.744156692661075
Bad Sassendorf,51.583397767402396,8.17932752104529
Bad Wünnenberg,51.53329445086883,8.734079650356104
Baesweiler,50.91831178361489,6.187990281750106
Balve,51.343553021612905,7.857153483097001
Barntrup,52.0087330638388,9.140984181411058
Beckum,51.75954728509605,8.049750850182633
Bedburg,51.01455477431966,6.556935805690485
Bedburg-Hau,51.762739113112765,6.193246619718104
Beelen,51.92488513530411,8.122676965858084
Bergheim,50.9686855026478,6.664220288674812
Bergisch Gladbach,50.97406230325802,7.175633444336015
Bergkamen,51.624429824843574,7.634508412830459
Bergneustadt,51.030409004206845,7.675683758393683
Bestwig,51.33488302802976,8.388303513472867
Beverungen,51.675117233748175,9.335335473291348
Bielefeld,52.01442432504597,8.55908562078783
Billerbeck,51.98865128872764,7.295467298664761
Blankenheim,50.40402865985034,6.691129173452854
Blomberg,51.955448046618116,9.083870603890217
Bocholt,51.85366118499472,6.5709418433789715
Bochum,51.470943015141536,7.2311583051289
Bonn,50.70380422167578,7.097506470128598
Borchen,51.651445200215306,8.76504627885966
Borgentreich,51.58419139248633,9.279144302888476
Borgholzhausen,52.09038028604477,8.27634690255665
Borken,51.85371995267276,6.829074566446022
Bornheim,50.76194591462281,6.955769560243429
Bottrop,51.57096454546314,6.890131832900967
Brakel,51.7131573770355,9.182964713902319
Breckerfeld,51.26633001079632,7.465381690096075
Brilon,51.38655016867152,8.594228902392922
Brüggen,51.265494756069614,6.17131523448964
Brühl,50.81833868255317,6.889418405766633
Burbach,50.74105331102132,8.091431631827724
Burscheid,51.091435017175485,7.118605699004658
Bönen,51.59426274454174,7.7666298424680384
Bünde,52.21026619128972,8.56183142596667
Büren,51.54886957082794,8.562616155172282
Castrop-Rauxel,51.57272411158737,7.292975309337034
Coesfeld,51.916754399933254,7.160234845872658
Dahlem,50.38892269062143,6.504195992471619
Datteln,51.66711254153746,7.333954846143616
Delbrück,51.77493795302593,8.540535474067486
Detmold,51.92845636239348,8.875191966455674
Dinslaken,51.570532396728,6.764425175013834
Dormagen,51.10311742270737,6.789643160607852
